SiO2,CaO,P2O5,Type
36.28,2.34,3.57,1
20.14,1.48,3.59,1
4.61,3.19,7.56,1
33.59,3.51,9.38,1
29.64,2.93,8.83,1
37.36,0,5.75,1
53.79,0.5,0,1
31.94,0.47,0.14,1
50.61,0.63,0.19,1
19.79,1.44,3.13,1
3.72,3.01,6.04,1
68.08,1.34,1.04,1
63.3,2.98,0.41,1
34.34,4.49,0,1
36.93,4.24,1.41,1
65.91,1.6,1.62,1
69.71,0.46,0.17,1
75.51,0.64,0.13,1
35.78,0.78,0.34,1
65.91,0.38,0.42,1
39.57,0.37,0.07,1
60.12,0.89,1.46,1
32.93,0.68,0.48,1
26.25,1.11,1.16,1
16.71,1.87,1.77,1
18.46,4.96,7.46,1
51.26,0.79,0.08,1
51.33,0,0,1
12.41,5.24,0,1
21.7,6.4,12.83,1
60.74,2.14,0,1
61.28,0.84,0,1
55.21,0,0.2,1
51.54,0.87,0.1,1
53.33,2.82,1.1,1
28.79,4.58,11.1,1
54.61,2.08,4.32,1
17.98,3.19,6.34,1
45.02,3.12,6.34,1
24.61,3.58,8.1,1
21.35,5.13,8.75,1
25.74,2.27,5.71,1
63.66,0.78,0,1
22.28,3.19,4.24,1
17.11,0,14.13,1
49.01,1.13,0.35,1
29.15,1.21,2.54,1
25.42,1.31,0,1
30.39,3.49,8.99,1